1512116796456,10,HTTP Request,200,OK,Thread Group 1-1,text,true,3898,4
1512116796468,8,HTTP Request,200,OK,Thread Group 1-1,text,true,3898,3
1512116796482,7,HTTP Request,200,OK,Thread Group 1-1,text,true,3898,3
1512116796491,8,HTTP Request,200,OK,Thread Group 1-1,text,true,3898,4
1512116796501,15,HTTP Request,200,OK,Thread Group 1-1,text,true,3898,6
1512116796520,17,HTTP Request,200,OK,Thread Group 1-1,text,true,3898,8
1512116796544,36,HTTP Request,200,OK,Thread Group 1-2,text,true,3898,28
1512116796559,26,HTTP Request,200,OK,Thread Group 1-1,text,true,3898,14
1512116796596,8,HTTP Request,200,OK,Thread Group 1-1,text,true,3898,4
1512116796608,11,HTTP Request,200,OK,Thread Group 1-1,text,true,3898,6
1512116796590,31,HTTP Request,200,OK,Thread Group 1-2,text,true,3898,9
1512116796623,17,HTTP Request,200,OK,Thread Group 1-1,text,true,3898,9
1512116796626,26,HTTP Request,200,OK,Thread Group 1-2,text,true,3898,9
1512116796646,12,HTTP Request,200,OK,Thread Group 1-3,text,true,3898,7
1512116796666,8,HTTP Request,200,OK,Thread Group 1-2,text,true,3898,3
1512116796671,19,HTTP Request,200,OK,Thread Group 1-3,text,true,3898,7
1512116796695,19,HTTP Request,200,OK,Thread Group 1-3,text,true,3898,5
1512116796689,29,HTTP Request,200,OK,Thread Group 1-2,text,true,3898,8
1512116796729,7,HTTP Request,200,OK,Thread Group 1-2,text,true,3898,3
1512116796731,11,HTTP Request,200,OK,Thread Group 1-3,text,true,3898,5
1512116796749,9,HTTP Request,200,OK,Thread Group 1-2,text,true,3898,4
1512116796752,29,HTTP Request,200,OK,Thread Group 1-4,text,true,3898,19
1512116796776,8,HTTP Request,200,OK,Thread Group 1-2,text,true,3898,3
1512116796763,24,HTTP Request,200,OK,Thread Group 1-3,text,true,3898,15
1512116796816,8,HTTP Request,200,OK,Thread Group 1-2,text,true,3898,3
1512116796804,31,HTTP Request,200,OK,Thread Group 1-4,text,true,3898,19
1512116796836,15,HTTP Request,200,OK,Thread Group 1-3,text,true,3898,4
1512116796874,6,HTTP Request,200,OK,Thread Group 1-2,text,true,3898,2
1512116796870,16,HTTP Request,200,OK,Thread Group 1-5,text,true,3898,6
1512116796883,24,HTTP Request,200,OK,Thread Group 1-3,text,true,3898,10
